"Country","Capital"
"Afghanistan","Kabul"
"Aland Islands","Mariehamn"
"Albania","Tirana"
"Algeria","Algiers"
"American Samoa","Pago Pago"
"Andorra","Andorra la Vella"
"Angola","Luanda"
"Anguilla","The Valley"
"Antarctica",
"Antigua and Barbuda","St. John's"
"Argentina","Buenos Aires"
"Armenia","Yerevan"
"Aruba","Oranjestad"
"Australia","Canberra"
"Austria","Vienna"
"Azerbaijan","Baku"
"Bahamas","Nassau"
"Bahrain","Manama"
"Bangladesh","Dhaka"
"Barbados","Bridgetown"
"Belarus","Minsk"
"Belgium","Brussels"
"Belize","Belmopan"
"Benin","Porto-Novo"
"Bermuda","Hamilton"
"Bhutan","Thimphu"
"Bolivia","Sucre"
"Bonaire, Saint Eustatius and Saba ",
"Bosnia and Herzegovina","Sarajevo"
"Botswana","Gaborone"
"Bouvet Island",
"Brazil","Brasilia"
"British Indian Ocean Territory","Diego Garcia"
"British Virgin Islands","Road Town"
"Brunei","Bandar Seri Begawan"
"Bulgaria","Sofia"
"Burkina Faso","Ouagadougou"
"Burundi","Gitega"
"Cabo Verde","Praia"
"Cambodia","Phnom Penh"
"Cameroon","Yaounde"
"Canada","Ottawa"
"Cayman Islands","George Town"
"Central African Republic","Bangui"
"Chad","N'Djamena"
"Chile","Santiago"
"China","Beijing"
"Christmas Island","Flying Fish Cove"
"Cocos Islands","West Island"
"Colombia","Bogota"
"Comoros","Moroni"
"Cook Islands","Avarua"
"Costa Rica","San Jose"
"Croatia","Zagreb"
"Cuba","Havana"
"Curacao"," Willemstad"
"Cyprus","Nicosia"
"Czechia","Prague"
"Democratic Republic of the Congo","Kinshasa"
"Denmark","Copenhagen"
"Djibouti","Djibouti"
"Dominica","Roseau"
"Dominican Republic","Santo Domingo"
"Ecuador","Quito"
"Egypt","Cairo"
"El Salvador","San Salvador"
"Equatorial Guinea","Malabo"
"Eritrea","Asmara"
"Estonia","Tallinn"
"Eswatini","Mbabane"
"Ethiopia","Addis Ababa"
"Falkland Islands","Stanley"
"Faroe Islands","Torshavn"
"Fiji","Suva"
"Finland","Helsinki"
"France","Paris"
"French Guiana","Cayenne"
"French Polynesia","Papeete"
"French Southern Territories","Port-aux-Francais"
"Gabon","Libreville"
"Gambia","Banjul"
"Georgia","Tbilisi"
"Germany","Berlin"
"Ghana","Accra"
"Gibraltar","Gibraltar"
"Greece","Athens"
"Greenland","Nuuk"
"Grenada","St. George's"
"Guadeloupe","Basse-Terre"
"Guam","Hagatna"
"Guatemala","Guatemala City"
"Guernsey","St Peter Port"
"Guinea","Conakry"
"Guinea-Bissau","Bissau"
"Guyana","Georgetown"
"Haiti","Port-au-Prince"
"Heard Island and McDonald Islands",
"Honduras","Tegucigalpa"
"Hong Kong","Hong Kong"
"Hungary","Budapest"
"Iceland","Reykjavik"
"India","New Delhi"
"Indonesia","Jakarta"
"Iran","Tehran"
"Iraq","Baghdad"
"Ireland","Dublin"
"Isle of Man","Douglas"
"Israel","Jerusalem"
"Italy","Rome"
"Ivory Coast","Yamoussoukro"
"Jamaica","Kingston"
"Japan","Tokyo"
"Jersey","Saint Helier"
"Jordan","Amman"
"Kazakhstan","Nur-Sultan"
"Kenya","Nairobi"
"Kiribati","Tarawa"
"Kosovo","Pristina"
"Kuwait","Kuwait City"
"Kyrgyzstan","Bishkek"
"Laos","Vientiane"
"Latvia","Riga"
"Lebanon","Beirut"
"Lesotho","Maseru"
"Liberia","Monrovia"
"Libya","Tripoli"
"Liechtenstein","Vaduz"
"Lithuania","Vilnius"
"Luxembourg","Luxembourg"
"Macao","Macao"
"Madagascar","Antananarivo"
"Malawi","Lilongwe"
"Malaysia","Kuala Lumpur"
"Maldives","Male"
"Mali","Bamako"
"Malta","Valletta"
"Marshall Islands","Majuro"
"Martinique","Fort-de-France"
"Mauritania","Nouakchott"
"Mauritius","Port Louis"
"Mayotte","Mamoudzou"
"Mexico","Mexico City"
"Micronesia","Palikir"
"Moldova","Chisinau"
"Monaco","Monaco"
"Mongolia","Ulaanbaatar"
"Montenegro","Podgorica"
"Montserrat","Plymouth"
"Morocco","Rabat"
"Mozambique","Maputo"
"Myanmar","Nay Pyi Taw"
"Namibia","Windhoek"
"Nauru","Yaren"
"Nepal","Kathmandu"
"Netherlands Antilles","Willemstad"
"Netherlands","Amsterdam"
"New Caledonia","Noumea"
"New Zealand","Wellington"
"Nicaragua","Managua"
"Niger","Niamey"
